
======================================================================
EXPERIMENT 5 QUANTITATIVE RESULTS
======================================================================

FILE_ID | MEAN_DEPTH | MAX_DEPTH | MIN_DEPTH | STD_DEPTH | POINTS
000086 | 0.4499 | 0.9728 | 0.0277 | 0.3859 | 122880
000087 | 0.4751 | 0.9778 | 0.0284 | 0.3555 | 122880
000088 | 0.4169 | 0.9744 | 0.0276 | 0.3352 | 122880
000089 | 0.4784 | 0.9815 | 0.0280 | 0.3945 | 122880
000090 | 0.4543 | 0.9727 | 0.0278 | 0.3457 | 122880
000091 | 0.5531 | 0.9731 | 0.0282 | 0.3700 | 122880
000092 | 0.5552 | 0.9739 | 0.0283 | 0.3842 | 122880
000093 | 0.5117 | 0.9787 | 0.0282 | 0.3687 | 122880
000094 | 0.6297 | 0.9730 | 0.0274 | 0.3787 | 122880
000095 | 0.5413 | 0.9774 | 0.0277 | 0.3586 | 122880
000096 | 0.5316 | 0.9750 | 0.0273 | 0.3936 | 122880
000097 | 0.5292 | 0.9760 | 0.0275 | 0.3501 | 122880
000098 | 0.5212 | 0.9610 | 0.0267 | 0.3987 | 122880
000099 | 0.5138 | 0.9692 | 0.0275 | 0.3812 | 122880
000100 | 0.4936 | 0.9794 | 0.0282 | 0.3879 | 122880
000101 | 0.4692 | 0.9762 | 0.0286 | 0.3799 | 122880
000102 | 0.5202 | 0.9766 | 0.0266 | 0.3733 | 122880
000103 | 0.4563 | 0.9694 | 0.0288 | 0.3698 | 122880
000104 | 0.6046 | 0.9730 | 0.0309 | 0.3271 | 122880
000105 | 0.5594 | 0.9747 | 0.0271 | 0.3548 | 122880
000106 | 0.4994 | 0.9719 | 0.0289 | 0.3735 | 122880
000107 | 0.4547 | 0.9776 | 0.0293 | 0.3752 | 122880
000108 | 0.5288 | 0.9808 | 0.0278 | 0.3786 | 122880
000109 | 0.4527 | 0.9719 | 0.0290 | 0.3689 | 122880
000110 | 0.5229 | 0.9775 | 0.0303 | 0.3557 | 122880
000111 | 0.5266 | 0.9809 | 0.0284 | 0.3624 | 122880
000112 | 0.4506 | 0.9817 | 0.0288 | 0.3809 | 122880
000113 | 0.5294 | 0.9801 | 0.0289 | 0.3655 | 122880
000114 | 0.5789 | 0.9809 | 0.0281 | 0.3614 | 122880
000115 | 0.3944 | 0.9620 | 0.0289 | 0.3430 | 122880
000116 | 0.4444 | 0.9829 | 0.0289 | 0.3793 | 122880
000117 | 0.4325 | 0.9772 | 0.0280 | 0.3533 | 122880
000118 | 0.5290 | 0.9785 | 0.0273 | 0.3873 | 122880
000119 | 0.5735 | 0.9820 | 0.0278 | 0.3467 | 122880
000120 | 0.5088 | 0.9742 | 0.0287 | 0.3674 | 122880
000121 | 0.5468 | 0.9691 | 0.0281 | 0.3722 | 122880
000122 | 0.5034 | 0.9731 | 0.0279 | 0.3810 | 122880
000123 | 0.4290 | 0.9650 | 0.0272 | 0.3650 | 122880
000124 | 0.4541 | 0.9741 | 0.0280 | 0.3687 | 122880
000125 | 0.3984 | 0.9766 | 0.0282 | 0.3821 | 122880
000126 | 0.3630 | 0.9771 | 0.0271 | 0.3529 | 122880
000127 | 0.5544 | 0.9757 | 0.0280 | 0.3595 | 122880
000128 | 0.5946 | 0.9782 | 0.0284 | 0.3558 | 122880
000129 | 0.5355 | 0.9651 | 0.0286 | 0.3667 | 122880
000130 | 0.4297 | 0.9698 | 0.0284 | 0.3679 | 122880
000131 | 0.4951 | 0.9688 | 0.0273 | 0.3627 | 122880
000132 | 0.5201 | 0.9619 | 0.0272 | 0.3878 | 122880
000133 | 0.4439 | 0.9669 | 0.0278 | 0.3700 | 122880
000134 | 0.4950 | 0.9744 | 0.0281 | 0.3730 | 122880
000135 | 0.5037 | 0.9748 | 0.0286 | 0.3463 | 122880
000136 | 0.5034 | 0.9814 | 0.0277 | 0.3738 | 122880
000137 | 0.6259 | 0.9797 | 0.0289 | 0.3602 | 122880
000138 | 0.3838 | 0.9596 | 0.0274 | 0.3505 | 122880
000139 | 0.5481 | 0.9794 | 0.0292 | 0.3624 | 122880
000140 | 0.4560 | 0.9790 | 0.0291 | 0.3826 | 122880
000141 | 0.5068 | 0.9700 | 0.0277 | 0.3619 | 122880
000142 | 0.5611 | 0.9828 | 0.0279 | 0.3733 | 122880
000143 | 0.5913 | 0.9773 | 0.0295 | 0.3712 | 122880
000144 | 0.5613 | 0.9752 | 0.0289 | 0.3894 | 122880
000145 | 0.5008 | 0.9807 | 0.0279 | 0.3707 | 122880
000146 | 0.5158 | 0.9785 | 0.0276 | 0.3678 | 122880
000147 | 0.5803 | 0.9782 | 0.0281 | 0.3835 | 122880
000148 | 0.2967 | 0.9748 | 0.0296 | 0.3305 | 122880
000149 | 0.5599 | 0.9852 | 0.0275 | 0.3885 | 122880
000150 | 0.5338 | 0.9759 | 0.0276 | 0.3506 | 122880
000151 | 0.5677 | 0.9722 | 0.0281 | 0.3718 | 122880
000152 | 0.5514 | 0.9773 | 0.0279 | 0.3905 | 122880
