step,train_logits_real_step
49,-0.31730470061302185
99,-0.29655906558036804
149,-0.21531438827514648
199,-0.25261250138282776
249,-0.36375272274017334
299,-0.319172739982605
349,-0.3188491761684418
399,-0.302276074886322
449,-0.2777312397956848
499,-0.31340059638023376
549,-0.33867353200912476
599,-0.30349990725517273
649,-0.2851170301437378
699,-0.3518771827220917
749,-0.32111403346061707
799,-0.2811063230037689
849,-0.244089275598526
899,-0.3108629286289215
949,-0.3032657504081726
999,-0.292430579662323
1049,-0.29341983795166016
1099,-0.3482806384563446
1149,-0.3239280581474304
1199,-0.30341842770576477
1249,-0.24798080325126648
1299,-0.2919422388076782
1349,-0.317663311958313
1399,-0.2843139171600342
1449,-0.3053256869316101
1499,-0.2997286319732666
1549,-0.20636598765850067
1599,-0.32954928278923035
1649,-0.22630846500396729
1699,-0.2390812784433365
1749,-0.29802149534225464
1799,-0.3153638243675232
1849,-0.23538175225257874
1899,-0.3501996099948883
1949,-0.29624059796333313
1999,-0.30656227469444275
2049,-0.29308274388313293
2099,-0.2820815443992615
2149,-0.30984681844711304
2199,-0.34441298246383667
2249,-0.30141258239746094
2299,-0.32230696082115173
2349,-0.270129531621933
2399,-0.2906396985054016
2449,-0.30541330575942993
2499,-0.2771722376346588
2549,-0.28420326113700867
2599,-0.2974916398525238
2649,-0.30112209916114807
2699,-0.3290564715862274
2749,-0.2815264165401459
2799,-0.30368131399154663
2849,-0.3013983368873596
2899,-0.3020477294921875
2949,-0.33757689595222473
2999,-0.3122791349887848
3049,-0.317432165145874
3099,-0.3465387225151062
3149,-0.2920021414756775
3199,-0.29029038548469543
3249,-0.3013301491737366
3299,-0.30929625034332275
3349,-0.27286186814308167
3399,-0.26837190985679626
3449,-0.32896867394447327
3499,-0.34417569637298584
3549,-0.23441527783870697
3599,-0.29357367753982544
3649,-0.2847267985343933
3699,-0.3429252505302429
3749,-0.3227531313896179
3799,-0.3402000069618225
3849,-0.2803078293800354
3899,-0.25401511788368225
3949,-0.3201614320278168
3999,-0.27595171332359314
4049,-0.3095114529132843
4099,-0.2670166790485382
4149,-0.2865482568740845
4199,-0.30257561802864075
4249,-0.27981117367744446
4299,-0.3234650790691376
4349,-0.31064680218696594
4399,-0.2385336011648178
4449,-0.277756005525589
4499,-0.29185745120048523
4549,-0.3059755861759186
4599,-0.32266294956207275
4649,-0.3091619610786438
4699,-0.33384308218955994
4749,-0.2917989492416382
4799,-0.32065045833587646
4849,-0.3107060194015503
4899,-0.32347962260246277
4949,-0.3116825222969055
4999,-0.33918526768684387
5049,-0.30058687925338745
5099,-0.32044461369514465
5149,-0.26162949204444885
5199,-0.23716579377651215
5249,-0.30326172709465027
5299,-0.3066275417804718
5349,-0.328643798828125
5399,-0.3231258690357208
5449,-0.32291796803474426
5499,-0.32426080107688904
5549,-0.26754066348075867
5599,-0.31146565079689026
5649,-0.30584558844566345
5699,-0.3334091007709503
5749,-0.3345048427581787
5799,-0.331920862197876
5849,-0.3126215636730194
5899,-0.3052825331687927
5949,-0.2781907021999359
5999,-0.2505785822868347
6049,-0.28319263458251953
6099,-0.23633812367916107
6149,-0.28875964879989624
6199,-0.3239520192146301
6249,-0.265744149684906
6299,-0.29805704951286316
6349,-0.3287694454193115
6399,-0.3013339340686798
6449,-0.328788697719574
6499,-0.309706449508667
6549,-0.2975808382034302
6599,-0.29204481840133667
6649,-0.28560671210289
6699,-0.3062140643596649
6749,-0.2882808744907379
6799,-0.23797711730003357
6849,-0.2821206748485565
6899,-0.3072766661643982
6949,-0.3128109872341156
6999,-0.34058037400245667
7049,-0.33078885078430176
7099,-0.3378181755542755
7149,-0.2654995024204254
7199,-0.33504319190979004
7249,-0.31025952100753784
7299,-0.3360489010810852
7349,-0.33019885420799255
7399,-0.31060802936553955
7449,-0.3112470805644989
7499,-0.3120056688785553
7549,-0.2917494773864746
7599,-0.3032779395580292
7649,-0.32423192262649536
7699,-0.29012128710746765
7749,-0.31025901436805725
7799,-0.2911384403705597
7849,-0.3067134618759155
7899,-0.27815747261047363
7949,-0.30213597416877747
7999,-0.31953877210617065
8049,-0.2932148277759552
8099,-0.29025980830192566
8149,-0.31772875785827637
8199,-0.28873223066329956
8249,-0.30454549193382263
8299,-0.33329498767852783
8349,-0.25963500142097473
8399,-0.34333884716033936
8449,-0.31769242882728577
8499,-0.29834750294685364
8549,-0.3102542757987976
8599,-0.298431396484375
8649,-0.30966952443122864
8699,-0.33379024267196655
8749,-0.25143322348594666
8799,-0.30762651562690735
8849,-0.3375498354434967
