step,train_logits_fake_step
20049,-0.3237650990486145
20099,-0.3242678642272949
20149,-0.33941468596458435
20199,-0.3886854946613312
20249,-0.32388636469841003
20299,-0.291805624961853
20349,-0.2925030589103699
20399,-0.31406867504119873
20449,-0.3151024580001831
20499,-0.3455865681171417
20549,-0.2565189599990845
20599,-0.2922779321670532
20649,-0.23043039441108704
20699,-0.2991451323032379
20749,-0.33791813254356384
20799,-0.28233397006988525
20849,-0.3193320035934448
20899,-0.3524129092693329
20949,-0.31853827834129333
20999,-0.32511356472969055
21049,-0.27835172414779663
21099,-0.3172164857387543
21149,-0.28856831789016724
21199,-0.33755552768707275
21249,-0.3010948598384857
21299,-0.35536128282546997
21349,-0.2868199646472931
21399,-0.32332879304885864
21449,-0.2948128879070282
21499,-0.3009675443172455
21549,-0.29597148299217224
21599,-0.30312153697013855
21649,-0.27159878611564636
21699,-0.3067339360713959
21749,-0.280566543340683
21799,-0.34590068459510803
21849,-0.3163096308708191
21899,-0.28789156675338745
21949,-0.3140164017677307
21999,-0.30959153175354004
22049,-0.3269311487674713
22099,-0.3036993443965912
22149,-0.2737732231616974
22199,-0.2991102337837219
22249,-0.23909790813922882
22299,-0.31841394305229187
22349,-0.2829979658126831
22399,-0.29006391763687134
22449,-0.24323439598083496
22499,-0.2772526741027832
22549,-0.2908494770526886
22599,-0.2977388799190521
22649,-0.2936152517795563
22699,-0.2862508296966553
22749,-0.3201238512992859
22799,-0.2766154110431671
22849,-0.2807677388191223
22899,-0.2766149938106537
22949,-0.2968640625476837
22999,-0.29275962710380554
23049,-0.32474979758262634
23099,-0.2740904986858368
23149,-0.3038368821144104
23199,-0.3123168349266052
23249,-0.34657180309295654
23299,-0.2869665026664734
23349,-0.31647294759750366
23399,-0.3048230707645416
23449,-0.3072059452533722
23499,-0.24871712923049927
23549,-0.2573758661746979
23599,-0.3010593354701996
23649,-0.28766924142837524
23699,-0.28258171677589417
23749,-0.3346071243286133
23799,-0.3327677845954895
23849,-0.2808755934238434
23899,-0.32018136978149414
23949,-0.28338220715522766
23999,-0.27727851271629333
24049,-0.25798317790031433
24099,-0.31411489844322205
24149,-0.25562581419944763
24199,-0.1761539876461029
24249,-0.3288438022136688
24299,-0.292374849319458
24349,-0.32594698667526245
24399,-0.30021992325782776
24449,-0.3171595633029938
24499,-0.30362826585769653
24549,-0.3025760352611542
24599,-0.3414170444011688
24649,-0.32758021354675293
24699,-0.2734237611293793
24749,-0.29537805914878845
24799,-0.3133801221847534
24849,-0.3584994375705719
24899,-0.3002261817455292
24949,-0.30925413966178894
