step,epoch
18049,21.0
18099,21.0
18149,21.0
18199,21.0
18249,21.0
18299,21.0
18349,21.0
18399,21.0
18449,21.0
18499,21.0
18523,21.0
18523,21.0
18549,22.0
18599,22.0
18649,22.0
18699,22.0
18749,22.0
18799,22.0
18849,22.0
18899,22.0
18949,22.0
18999,22.0
19049,22.0
19099,22.0
19149,22.0
19199,22.0
19249,22.0
19299,22.0
19349,22.0
19365,22.0
19365,22.0
19399,23.0
19449,23.0
19499,23.0
19549,23.0
19599,23.0
19649,23.0
19699,23.0
19749,23.0
19799,23.0
19849,23.0
19899,23.0
19949,23.0
19999,23.0
20049,23.0
20099,23.0
20149,23.0
20199,23.0
20207,23.0
20207,23.0
20249,24.0
20299,24.0
20349,24.0
20399,24.0
20449,24.0
20499,24.0
20549,24.0
20599,24.0
20649,24.0
20699,24.0
20749,24.0
20799,24.0
20849,24.0
20899,24.0
20949,24.0
20999,24.0
21049,24.0
21049,24.0
21049,24.0
21099,25.0
21149,25.0
21199,25.0
21249,25.0
21299,25.0
21349,25.0
21399,25.0
21449,25.0
21499,25.0
21549,25.0
21599,25.0
21649,25.0
21699,25.0
21749,25.0
21799,25.0
21849,25.0
21891,25.0
21891,25.0
21899,26.0
21949,26.0
21999,26.0
22049,26.0
22099,26.0
22149,26.0
22199,26.0
22249,26.0
22299,26.0
22349,26.0
22399,26.0
22449,26.0
22499,26.0
22549,26.0
22599,26.0
22649,26.0
22699,26.0
22733,26.0
22733,26.0
22749,27.0
22799,27.0
22849,27.0
22899,27.0
22949,27.0
22999,27.0
23049,27.0
23099,27.0
23149,27.0
23199,27.0
23249,27.0
23299,27.0
23349,27.0
23399,27.0
23449,27.0
23499,27.0
23549,27.0
23575,27.0
23575,27.0
23599,28.0
23649,28.0
23699,28.0
23749,28.0
23799,28.0
23849,28.0
23899,28.0
23949,28.0
23999,28.0
24049,28.0
24099,28.0
24149,28.0
24199,28.0
24249,28.0
24299,28.0
24349,28.0
24399,28.0
24417,28.0
24417,28.0
24449,29.0
24499,29.0
24549,29.0
24599,29.0
24649,29.0
24699,29.0
24749,29.0
24799,29.0
24849,29.0
24899,29.0
24949,29.0
24999,29.0
25049,29.0
25099,29.0
25149,29.0
25199,29.0
25249,29.0
25259,29.0
25259,29.0
25299,30.0
25349,30.0
25399,30.0
25449,30.0
25499,30.0
25549,30.0
25599,30.0
25649,30.0
25699,30.0
25749,30.0
25799,30.0
25849,30.0
25899,30.0
25949,30.0
25999,30.0
26049,30.0
26099,30.0
26101,30.0
26101,30.0
26149,31.0
26199,31.0
26249,31.0
26299,31.0
26349,31.0
26399,31.0
26449,31.0
26499,31.0
26549,31.0
26599,31.0
26649,31.0
26699,31.0
26749,31.0
26799,31.0
26849,31.0
26899,31.0
26943,31.0
26943,31.0
26949,32.0
26999,32.0
27049,32.0
27099,32.0
27149,32.0
27199,32.0
27249,32.0
27299,32.0
27349,32.0
27399,32.0
27449,32.0
27499,32.0
27549,32.0
27599,32.0
27649,32.0
27699,32.0
27749,32.0
27785,32.0
27785,32.0
27799,33.0
27849,33.0
27899,33.0
27949,33.0
27999,33.0
28049,33.0
28099,33.0
28149,33.0
28199,33.0
28249,33.0
28299,33.0
28349,33.0
28399,33.0
28449,33.0
28499,33.0
28549,33.0
28599,33.0
28627,33.0
28627,33.0
28649,34.0
28699,34.0
28749,34.0
28799,34.0
28849,34.0
28899,34.0
28949,34.0
28999,34.0
