step,train_total_loss_step
49,4.486020088195801
99,8.379287719726562
149,7.187796592712402
199,7.790821552276611
249,6.991872787475586
299,3.3672242164611816
349,3.075870990753174
399,2.297133207321167
449,3.9266197681427
499,0.7167844176292419
549,0.8584390878677368
599,0.7922261357307434
649,0.36982691287994385
699,0.33559173345565796
749,0.655669629573822
799,0.3790658712387085
849,0.41860681772232056
899,0.4940569996833801
949,0.3893243670463562
999,0.2692846953868866
1049,0.306013822555542
1099,0.24654744565486908
1149,0.188480406999588
1199,0.24962842464447021
1249,0.20705001056194305
1299,0.20292627811431885
1349,0.15719737112522125
1399,0.23059090971946716
1449,0.15166352689266205
1499,0.1690148264169693
1549,0.15692710876464844
1599,0.15385925769805908
1649,0.2040257751941681
1699,0.15582342445850372
1749,0.17762216925621033
1799,0.19649852812290192
1849,0.15566088259220123
1899,0.15146249532699585
1949,0.14067453145980835
1999,0.13036704063415527
2049,0.1256948709487915
2099,0.13140010833740234
2149,0.13738539814949036
2199,0.14958348870277405
2249,0.12030337750911713
2299,0.13614962995052338
2349,0.1081819161772728
2399,0.10309884697198868
2449,0.09456014633178711
2499,0.12186246365308762
2549,0.11253240704536438
2599,0.10325009375810623
2649,0.10272730886936188
2699,0.0932663157582283
2749,0.10173583030700684
2799,0.12398545444011688
2849,0.11175873130559921
2899,0.07671523094177246
2949,0.10967539250850677
2999,0.08490890264511108
3049,0.0978439599275589
3099,0.08663459122180939
3149,0.09084666520357132
3199,0.08738388121128082
3249,0.09358257800340652
3299,0.07601938396692276
3349,0.10258516669273376
3399,0.09406812489032745
3449,0.08195393532514572
3499,0.0767817497253418
3549,0.1011473536491394
3599,0.0746082216501236
3649,0.07754972577095032
3699,0.06747284531593323
3749,0.07894216477870941
3799,0.0831734761595726
3849,0.09839385747909546
3899,0.09399161487817764
3949,0.07710443437099457
3999,0.06723155081272125
4049,0.08721429109573364
4099,0.06957447528839111
4149,0.09188005328178406
4199,0.0834045559167862
4249,0.07304369658231735
4299,0.0866217315196991
4349,0.09282653778791428
4399,0.08245428651571274
4449,0.08255862444639206
4499,0.08295414596796036
4549,0.05934203416109085
4599,0.07960934191942215
4649,0.09170079976320267
4699,0.07788848131895065
4749,0.07977011799812317
4799,0.06557995080947876
4849,0.07183411717414856
4899,0.07404085993766785
4949,0.08027338981628418
4999,0.06583588570356369
5049,0.07282811403274536
5099,0.08305336534976959
5149,0.06724752485752106
5199,0.07370556145906448
5249,0.06627659499645233
5299,0.060968462377786636
5349,0.07279811799526215
5399,0.08476915955543518
5449,0.07647837698459625
5499,0.06062963232398033
5549,0.06269511580467224
5599,0.07414598762989044
5649,0.06308498233556747
5699,0.05931080877780914
5749,0.07289743423461914
5799,0.072886623442173
5849,0.07827829569578171
5899,0.06994099915027618
5949,0.07501592487096786
5999,0.08674640208482742
6049,0.05507460981607437
6099,0.07097617536783218
6149,0.06179511547088623
6199,0.0748961940407753
6249,0.06439589709043503
6299,0.07614478468894958
6349,0.06901280581951141
6399,0.08076974004507065
6449,0.06508271396160126
6499,0.06331203877925873
6549,0.05987192690372467
6599,0.06081479415297508
6649,0.06597954034805298
6699,0.06291387230157852
6749,0.06698527187108994
6799,0.06520872563123703
6849,0.07549519091844559
6899,0.047386717051267624
6949,0.07640068233013153
6999,0.052079346030950546
7049,0.06416301429271698
7099,0.06922505050897598
7149,0.06184091046452522
7199,0.06346481293439865
7249,0.06324107944965363
7299,0.06378082185983658
7349,0.06789903342723846
7399,0.06899318844079971
7449,0.07015733420848846
7499,0.05716594681143761
7549,0.0577932670712471
7599,0.0749831572175026
7649,0.061909206211566925
7699,0.07150374352931976
7749,0.06959004700183868
7799,0.06017909571528435
7849,0.07134212553501129
7899,0.061964571475982666
7949,0.060049161314964294
7999,0.06201250106096268
8049,0.06408236175775528
8099,0.07143835723400116
8149,0.07336964458227158
8199,0.06213327497243881
8249,0.057027675211429596
8299,0.06354279816150665
8349,0.055492475628852844
8399,0.07263148576021194
8449,0.05677974969148636
8499,0.0479007214307785
8549,0.06316931545734406
8599,0.06263335794210434
8649,0.06589058041572571
8699,0.06757555902004242
8749,0.06864149123430252
8799,0.05755716934800148
8849,0.07056240737438202
8899,0.06270372867584229
8949,0.0698009803891182
8999,0.054956864565610886
9049,0.052476853132247925
9099,0.06799766421318054
9149,0.06674259901046753
9199,0.051669783890247345
9249,0.060212813317775726
9299,0.06408528983592987
9349,0.052610378712415695
9399,0.0659804567694664
9449,0.061100952327251434
9499,0.05361689254641533
9549,0.055238619446754456
9599,0.058231353759765625
9649,0.05126398429274559
9699,0.057747188955545425
9749,0.07118423283100128
9799,0.06322410702705383
9849,0.06716734915971756
9899,0.05606170743703842
9949,0.051548365503549576
9999,0.05632169544696808
10049,0.04825153574347496
10099,0.05419405549764633
10149,0.05509956181049347
10199,0.04954364150762558
10249,0.040686141699552536
10299,0.06669013947248459
10349,0.06356562674045563
10399,0.046520404517650604
10449,0.0606674924492836
10499,0.04900050535798073
10549,0.04934663325548172
10599,0.0624697171151638
10649,0.055399831384420395
10699,0.05240044742822647
10749,0.04873933270573616
10799,0.05537407845258713
10849,0.05222127586603165
10899,0.0398293137550354
10949,0.04625712335109711
10999,0.05582944676280022
11049,0.04421202465891838
11099,0.0673922747373581
11149,0.04091585427522659
11199,0.05038875341415405
11249,0.055892765522003174
11299,0.06327160447835922
11349,0.05140046775341034
11399,0.04224086552858353
11449,0.03916686773300171
11499,0.048220083117485046
11549,0.045728180557489395
11599,0.040220923721790314
11649,0.05841805413365364
11699,0.05417162552475929
11749,0.04628721624612808
11799,0.04459322988986969
11849,0.05488981306552887
11899,0.040170423686504364
11949,0.05136454105377197
11999,0.046046700328588486
12049,0.0502997487783432
12099,0.041501276195049286
12149,0.05321795493364334
12199,0.04613012820482254
12249,0.05332382768392563
12299,0.037205155938863754
12349,0.054788801819086075
12399,0.04344354197382927
12449,0.043402161449193954
12499,0.04591742902994156
12549,0.04586023837327957
12599,0.04469148442149162
12649,0.0547097772359848
12699,0.05905843526124954
12749,0.04773610085248947
12799,0.05797959864139557
12849,0.04479333013296127
12899,0.05382485315203667
12949,0.040574029088020325
12999,0.052776165306568146
13049,0.0625951960682869
13099,0.04218713939189911
13149,0.05437079071998596
13199,0.038033973425626755
13249,0.05484333634376526
13299,0.04357405751943588
13349,0.04847351089119911
13399,0.0480278879404068
13449,0.0376628153026104
13499,0.04223861172795296
13549,0.05253550037741661
13599,0.04683978483080864
13649,0.04296252503991127
13699,0.05413224548101425
13749,0.04862678796052933
13799,0.049193091690540314
13849,0.04704268276691437
13899,0.05118398368358612
13949,0.05129512399435043
13999,0.04348772019147873
14049,0.04686429351568222
14099,0.046448517590761185
14149,0.047253385186195374
14199,0.04263446852564812
14249,0.034176234155893326
14299,0.05290947109460831
14349,0.04600787162780762
14399,0.03921514376997948
14449,0.043580107390880585
14499,0.042422495782375336
14549,0.03934819996356964
14599,0.04386839643120766
14649,0.03694230318069458
14699,0.06226704269647598
14749,0.04609427973628044
14799,0.042906034737825394
14849,0.04501091688871384
14899,0.04117276892066002
14949,0.0420573391020298
14999,0.05379398912191391
15049,0.0490981824696064
15099,0.03527563065290451
15149,0.05413629487156868
15199,0.050668101757764816
15249,0.03169088810682297
15299,0.050568729639053345
15349,0.04298997297883034
15399,0.04439646378159523
15449,0.04636566713452339
