step,train_quant_loss_step
49,4.1785759925842285
99,8.130825996398926
149,6.97093391418457
199,7.586686611175537
249,6.781273365020752
299,3.1800789833068848
349,2.8705782890319824
399,2.1255319118499756
449,3.759526252746582
499,0.5658168196678162
549,0.7124614715576172
599,0.6524438261985779
649,0.2469848394393921
699,0.19154372811317444
749,0.5109347105026245
799,0.2573968470096588
849,0.2907213866710663
899,0.35549163818359375
949,0.26671141386032104
999,0.14342597126960754
1049,0.18754005432128906
1099,0.12125982344150543
1149,0.08635459840297699
1199,0.13236775994300842
1249,0.09999434649944305
1299,0.09789741039276123
1349,0.049077048897743225
1399,0.1057465448975563
1449,0.0555223785340786
1499,0.056992143392562866
1549,0.05698881670832634
1599,0.05294801667332649
1649,0.0795937180519104
1699,0.058990124613046646
1749,0.06375735998153687
1799,0.07734495401382446
1849,0.05738667771220207
1899,0.04336307942867279
1949,0.05008392035961151
1999,0.04107207804918289
2049,0.03907298669219017
2099,0.04563560336828232
2149,0.044424861669540405
2199,0.04642181098461151
2249,0.03457595407962799
2299,0.03898201137781143
2349,0.02909562550485134
2399,0.024178961291909218
2449,0.022708456963300705
2499,0.025798005983233452
2549,0.02535342052578926
2599,0.021782899275422096
2649,0.02474358305335045
2699,0.015537380240857601
2749,0.020649727433919907
2799,0.030987728387117386
2849,0.023687398061156273
2899,0.0164625383913517
2949,0.023570358753204346
2999,0.014965580776333809
3049,0.01676933653652668
3099,0.013573287054896355
3149,0.0153355672955513
3199,0.013192130252718925
3249,0.013867771252989769
3299,0.0108407661318779
3349,0.01362587884068489
3399,0.01565859094262123
3449,0.013498314656317234
3499,0.011483239941298962
3549,0.021122336387634277
3599,0.011972873471677303
3649,0.012736395001411438
3699,0.01016676239669323
3749,0.010268459096550941
3799,0.017523596063256264
3849,0.01887023262679577
3899,0.013881017453968525
3949,0.008121522143483162
3999,0.009767421521246433
4049,0.012310102581977844
4099,0.007680948823690414
4149,0.01253708265721798
4199,0.01085669919848442
4249,0.007529850117862225
4299,0.013157530687749386
4349,0.01206580363214016
4399,0.011767169460654259
4449,0.01049118023365736
4499,0.012984655797481537
4549,0.0049599092453718185
4599,0.008946413174271584
4649,0.011152757331728935
4699,0.013318546116352081
4749,0.00926300697028637
4799,0.004591956268996
4849,0.008632991462945938
4899,0.00603898148983717
4949,0.007334524765610695
4999,0.00878147967159748
5049,0.006433367729187012
5099,0.00979064591228962
5149,0.00640935730189085
5199,0.007350480183959007
5249,0.0067225126549601555
5299,0.005752881057560444
5349,0.009029846638441086
5399,0.009207167662680149
5449,0.009855600073933601
5499,0.005667403340339661
5549,0.004694012925028801
5599,0.0072362832725048065
5649,0.0049619353376328945
5699,0.005472252145409584
5749,0.006298200227320194
5799,0.006022901274263859
5849,0.006788081489503384
5899,0.004676059354096651
5949,0.006914208177477121
5999,0.010649203322827816
6049,0.004206633195281029
6099,0.008603689260780811
6149,0.006277433130890131
6199,0.007180918473750353
6249,0.005702139809727669
6299,0.006709728389978409
6349,0.006591880228370428
6399,0.007109995000064373
6449,0.0043164147064089775
6499,0.004575598984956741
6549,0.005041292868554592
6599,0.0038250559009611607
6649,0.0040592956356704235
6699,0.004378472454845905
6749,0.0048515042290091515
6799,0.004688285291194916
6849,0.0040082684718072414
6899,0.0021705878898501396
6949,0.005600312724709511
6999,0.003540267236530781
7049,0.0056618149392306805
7099,0.0055461460724473
7149,0.004135672468692064
7199,0.004298126325011253
7249,0.003503497689962387
7299,0.004643171094357967
7349,0.0056603820994496346
7399,0.004504014737904072
7449,0.004463658668100834
7499,0.003071725834161043
7549,0.0028269938193261623
7599,0.005707358010113239
7649,0.004544340539723635
7699,0.005178661085665226
7749,0.004645106382668018
7799,0.0045775785110890865
7849,0.0040588174015283585
7899,0.0035814945586025715
7949,0.003551207482814789
7999,0.0040958356112241745
8049,0.0029540061950683594
8099,0.005232125520706177
8149,0.003967837430536747
8199,0.004288224037736654
8249,0.0036627212539315224
8299,0.0043745022267103195
8349,0.0035142700653523207
8399,0.005155822727829218
8449,0.005075639113783836
8499,0.003370831487700343
8549,0.004402664955705404
8599,0.0036285952664911747
8649,0.0050614457577466965
8699,0.003971694968640804
8749,0.005681793205440044
8799,0.0041641839779913425
8849,0.005548831541091204
8899,0.005333095323294401
8949,0.00581077765673399
8999,0.00403167586773634
9049,0.0036356081254780293
9099,0.004409429617226124
9149,0.005538728088140488
9199,0.003581627970561385
9249,0.00443375576287508
9299,0.004456949420273304
9349,0.003187234979122877
9399,0.005107316188514233
9449,0.00450548343360424
9499,0.004108016844838858
9549,0.00507486704736948
9599,0.005072467494755983
9649,0.004719603341072798
9699,0.004472964908927679
9749,0.006166966166347265
9799,0.004958667792379856
9849,0.006513216067105532
9899,0.0051347194239497185
9949,0.003840823657810688
9999,0.004839055240154266
10049,0.0041062356904149055
10099,0.003995235078036785
10149,0.004143730737268925
10199,0.004452241584658623
10249,0.0031637006904929876
10299,0.006201328709721565
10349,0.005332333967089653
10399,0.0031697964295744896
10449,0.005125238094478846
10499,0.004197999369353056
10549,0.004102226812392473
10599,0.005203523673117161
10649,0.0045376308262348175
10699,0.004770935047417879
10749,0.00370799214579165
10799,0.004051597323268652
10849,0.004056210163980722
10899,0.002977777738124132
10949,0.003945013042539358
10999,0.0034110569395124912
11049,0.002633436815813184
11099,0.006374223157763481
11149,0.00284737441688776
11199,0.003838493488729
11249,0.005216101184487343
11299,0.006104913540184498
11349,0.004767386242747307
11399,0.0036934835370630026
11449,0.0034511741250753403
11499,0.003809636691585183
11549,0.0042275674641132355
11599,0.004035172984004021
11649,0.0045217289589345455
11699,0.00460973521694541
11749,0.004546531476080418
11799,0.003429665695875883
11849,0.004651241470128298
11899,0.003550434485077858
11949,0.004335299134254456
11999,0.004487277008593082
12049,0.004143548663705587
12099,0.0032910024747252464
12149,0.005304401274770498
12199,0.004141838289797306
12249,0.004935603588819504
12299,0.003219905309379101
12349,0.003651839680969715
12399,0.0031674890778958797
12449,0.0037867771461606026
12499,0.0036246846430003643
12549,0.003992068115621805
12599,0.004088888876140118
12649,0.004935982171446085
12699,0.005233557894825935
12749,0.004329076502472162
12799,0.0052222684025764465
