step,train_g_loss_step
49,0.06209009140729904
99,0.0994376614689827
149,0.1859409064054489
199,0.2085738480091095
249,0.1931116133928299
299,0.16683100163936615
349,0.19203807413578033
399,0.07621125876903534
449,0.11236587911844254
499,0.148225337266922
549,0.155211940407753
599,0.11422008275985718
649,0.12787607312202454
699,0.18219409883022308
749,0.19936253130435944
799,0.13067547976970673
849,0.06031646579504013
899,0.21090193092823029
949,0.23365633189678192
999,0.19361023604869843
1049,0.22180518507957458
1099,0.25308331847190857
1149,0.2592528760433197
1199,0.20450107753276825
1249,0.1828337162733078
1299,0.2433609813451767
1349,0.2618520259857178
1399,0.21330685913562775
1449,0.24026690423488617
1499,0.2503466308116913
1549,0.17006690800189972
1599,0.2901798486709595
1649,0.2203514724969864
1699,0.2164411097764969
1749,0.27270302176475525
1799,0.27614232897758484
1849,0.19911126792430878
1899,0.3148396611213684
1949,0.27610334753990173
1999,0.3028933107852936
2049,0.2690639793872833
2099,0.2687109410762787
2149,0.3092128038406372
2199,0.32728010416030884
2249,0.3108519911766052
2299,0.3168933391571045
2349,0.27164506912231445
2399,0.26000019907951355
2449,0.2939299941062927
2499,0.28048181533813477
2549,0.26415830850601196
2599,0.2825014591217041
2649,0.2778102159500122
2699,0.3257647752761841
2749,0.28263935446739197
2799,0.2983882427215576
2849,0.29613199830055237
2899,0.29903700947761536
2949,0.34319162368774414
2999,0.31271040439605713
3049,0.3040512204170227
3099,0.3337042033672333
3149,0.2732675075531006
3199,0.296054482460022
3249,0.3026951253414154
3299,0.31124427914619446
3349,0.2609897553920746
3399,0.2720453143119812
3449,0.31989574432373047
3499,0.33253738284111023
3549,0.21128663420677185
3599,0.28811678290367126
3649,0.2756737470626831
3699,0.33664146065711975
3749,0.3282596170902252
3799,0.33467936515808105
3849,0.2652180790901184
3899,0.23598279058933258
3949,0.3133201003074646
3999,0.25898846983909607
4049,0.3118038475513458
4099,0.2764214277267456
4149,0.2715564966201782
4199,0.29069650173187256
4249,0.2737305462360382
4299,0.3133603036403656
4349,0.29999110102653503
4399,0.24175168573856354
4449,0.2841150164604187
4499,0.2814655900001526
4549,0.29746776819229126
4599,0.31624114513397217
4649,0.3072958290576935
4699,0.32649749517440796
4749,0.2911536991596222
4799,0.31991901993751526
4849,0.3072066009044647
4899,0.31667691469192505
4949,0.30279240012168884
4999,0.3426802456378937
5049,0.30644041299819946
5099,0.3115890622138977
5149,0.2576710879802704
5199,0.21832863986492157
5249,0.2939164936542511
5299,0.29901862144470215
5349,0.32380643486976624
5399,0.32515573501586914
5449,0.30331987142562866
5499,0.3191555142402649
5549,0.25510159134864807
5599,0.31248852610588074
5649,0.2981831431388855
5699,0.32607874274253845
5749,0.33040493726730347
5799,0.3314290940761566
5849,0.3023759722709656
5899,0.3005526065826416
5949,0.27035561203956604
5999,0.2315106838941574
6049,0.27385199069976807
6099,0.21709181368350983
6149,0.2852255403995514
6199,0.3182538151741028
6249,0.25403493642807007
6299,0.3054758906364441
6349,0.32555699348449707
6399,0.29271870851516724
6449,0.3248296082019806
6499,0.31054380536079407
6549,0.29266485571861267
6599,0.2922271192073822
6649,0.2759647071361542
6699,0.30102139711380005
6749,0.2895757257938385
6799,0.2350168526172638
6849,0.2870918810367584
6899,0.3023964762687683
6949,0.318918377161026
6999,0.33320051431655884
7049,0.3352622389793396
7099,0.33889058232307434
7149,0.26586252450942993
7199,0.32350435853004456
7249,0.31006091833114624
7299,0.3372204899787903
7349,0.3163539171218872
7399,0.3078462481498718
7449,0.30600300431251526
7499,0.3162030279636383
7549,0.2790318727493286
7599,0.3006076216697693
7649,0.3196931481361389
7699,0.28918206691741943
7749,0.31039634346961975
7799,0.29241546988487244
7849,0.30206620693206787
7899,0.2740199863910675
7949,0.284660667181015
7999,0.3043113350868225
8049,0.3040745258331299
8099,0.2996231019496918
8149,0.3182232975959778
8199,0.2855989933013916
8249,0.31110695004463196
8299,0.3354261517524719
8349,0.2601481080055237
8399,0.34097713232040405
8449,0.3201083242893219
8499,0.30586421489715576
8549,0.3045392334461212
8599,0.29370710253715515
8649,0.3096541464328766
8699,0.3274719715118408
8749,0.2447778582572937
8799,0.30960941314697266
