step,train_g_loss_epoch
841,0.15326526761054993
1683,0.23735953867435455
2525,0.2852475643157959
3367,0.2953859865665436
4209,0.29696694016456604
5051,0.29688817262649536
5893,0.2978951632976532
6735,0.29879119992256165
7577,0.29909229278564453
8419,0.2994311451911926
9261,0.30012017488479614
10103,0.3004593253135681
10945,0.3011932373046875
11787,0.3016633689403534
12629,0.3016933798789978
13471,0.3018520474433899
14313,0.30206814408302307
15155,0.30233219265937805
15997,0.302509605884552
16839,0.3022008538246155
17681,0.30248767137527466
18523,0.3026246428489685
19365,0.3026639521121979
20207,0.3026416301727295
21049,0.30267757177352905
21891,0.3024681508541107
22733,0.30264580249786377
23575,0.3027234375476837
24417,0.30255505442619324
25259,0.3025573194026947
26101,0.30271580815315247
26943,0.3027372658252716
27785,0.30255988240242004
28627,0.3023194372653961
29469,0.302727073431015
30311,0.302725613117218
31153,0.30256593227386475
31995,0.30266156792640686
32837,0.302802175283432
33679,0.30278462171554565
34521,0.30289334058761597
35363,0.3025211989879608
36205,0.3030581474304199
37047,0.3030654788017273
37889,0.30281850695610046
38731,0.3027682304382324
39573,0.3028317987918854
40415,0.3026684522628784
41257,0.30270805954933167
42099,0.30278778076171875
42941,0.30312034487724304
43783,0.30296170711517334
44625,0.3029448390007019
45467,0.30299627780914307
46309,0.3030378520488739
47151,0.30301633477211
47993,0.3029620349407196
48835,0.3030000627040863
49677,0.30270907282829285
50519,0.3031456172466278
51361,0.30291035771369934
52203,0.30294203758239746
53045,0.30312657356262207
53887,0.30275893211364746
54729,0.3031378984451294
55571,0.30293139815330505
56413,0.30309805274009705
57255,0.30311745405197144
58097,0.3031695485115051
58939,0.30309543013572693
59781,0.3031916916370392
60623,0.30286353826522827
61465,0.3031079173088074
62307,0.303297221660614
63149,0.3032364547252655
63991,0.3030732274055481
64833,0.302827388048172
65675,0.30326342582702637
66517,0.30320316553115845
67359,0.3031683564186096
68201,0.3031063973903656
69043,0.30322015285491943
69885,0.30299627780914307
70727,0.3034249246120453
71569,0.303117573261261
72411,0.30303946137428284
73253,0.30337855219841003
74095,0.3030630052089691
74937,0.30302947759628296
75779,0.30334997177124023
76621,0.3029419183731079
77463,0.30318281054496765
78305,0.30318987369537354
79147,0.3032449781894684
79989,0.3031086325645447
80831,0.3030272424221039
81673,0.3030319809913635
82515,0.3030427396297455
83357,0.30322709679603577
84199,0.3029472231864929
85041,0.3028126358985901
85883,0.3028448522090912
86725,0.302663117647171
87567,0.30279433727264404
88409,0.3027823269367218
89251,0.3027666509151459
90093,0.30288198590278625
90935,0.3029135763645172
91777,0.3024480938911438
92619,0.30245158076286316
93461,0.30259525775909424
94303,0.30272528529167175
95145,0.3024473786354065
95987,0.30293673276901245
96829,0.3025486171245575
97671,0.30251720547676086
98513,0.30249452590942383
99355,0.30271807312965393
