step,train_pix_rec_loss_step
49,0.30744433403015137
99,0.24846148490905762
149,0.21686288714408875
199,0.20413494110107422
249,0.2105993926525116
299,0.1871451586484909
349,0.20529264211654663
399,0.1716012805700302
449,0.16709360480308533
499,0.15096759796142578
549,0.14597764611244202
599,0.13978230953216553
649,0.12284207344055176
699,0.14404800534248352
749,0.1447349190711975
799,0.12166900932788849
849,0.12788543105125427
899,0.13856536149978638
949,0.12261296808719635
999,0.12585872411727905
1049,0.11847378313541412
1099,0.12528762221336365
1149,0.10212581604719162
1199,0.11726067215204239
1249,0.1070556640625
1299,0.10502886772155762
1349,0.10812032222747803
1399,0.12484435737133026
1449,0.09614114463329315
1499,0.11202268302440643
1549,0.0999382883310318
1599,0.10091124475002289
1649,0.12443205714225769
1699,0.09683330357074738
1749,0.11386480927467346
1799,0.11915357410907745
1849,0.09827420860528946
1899,0.10809941589832306
1949,0.09059061110019684
1999,0.08929495513439178
2049,0.08662188053131104
2099,0.08576449751853943
2149,0.09296054393053055
2199,0.10316167771816254
2249,0.08572742342948914
2299,0.09716761857271194
2349,0.0790862888097763
2399,0.07891988754272461
2449,0.0718516856431961
2499,0.09606445580720901
2549,0.08717899024486542
2599,0.08146719634532928
2649,0.07798372209072113
2699,0.07772893458604813
2749,0.08108609914779663
2799,0.0929977223277092
2849,0.08807133138179779
2899,0.06025269627571106
2949,0.08610503375530243
2999,0.06994332373142242
3049,0.08107462525367737
3099,0.07306130230426788
3149,0.07551109790802002
3199,0.07419174909591675
3249,0.0797148048877716
3299,0.06517861783504486
3349,0.08895929157733917
3399,0.07840953767299652
3449,0.06845562160015106
3499,0.06529851257801056
3549,0.08002501726150513
3599,0.06263534724712372
3649,0.06481333076953888
3699,0.05730608105659485
3749,0.06867370754480362
3799,0.06564988195896149
3849,0.07952362298965454
3899,0.0801105946302414
3949,0.06898291409015656
3999,0.057464126497507095
4049,0.0749041885137558
4099,0.061893530189991
4149,0.07934296876192093
4199,0.07254785299301147
4249,0.06551384925842285
4299,0.07346419990062714
4349,0.08076073229312897
4399,0.07068711519241333
4449,0.07206744700670242
4499,0.06996949017047882
4549,0.05438212677836418
4599,0.07066293060779572
4649,0.08054804056882858
4699,0.06456993520259857
4749,0.07050710916519165
4799,0.06098799780011177
4849,0.06320112943649292
4899,0.0680018812417984
4949,0.07293886691331863
4999,0.05705440416932106
5049,0.06639474630355835
5099,0.07326272130012512
5149,0.06083817034959793
5199,0.06635507941246033
5249,0.0595540814101696
5299,0.05521558225154877
5349,0.06376826763153076
5399,0.0755619928240776
5449,0.0666227787733078
5499,0.05496222898364067
5549,0.05800110474228859
5599,0.06690970063209534
5649,0.05812304466962814
5699,0.05383855849504471
5749,0.06659923493862152
5799,0.06686372309923172
5849,0.07149021327495575
5899,0.06526494026184082
5949,0.06810171902179718
5999,0.07609719783067703
6049,0.05086797475814819
6099,0.06237248703837395
6149,0.05551768094301224
6199,0.06771527230739594
6249,0.05869375541806221
6299,0.06943506002426147
6349,0.06242092698812485
6399,0.073659747838974
6449,0.060766298323869705
6499,0.05873643606901169
6549,0.054830633103847504
6599,0.05698973685503006
6649,0.061920247972011566
6699,0.05853540077805519
6749,0.06213376671075821
6799,0.060520440340042114
6849,0.07148692011833191
6899,0.04521612823009491
6949,0.07080037146806717
6999,0.04853907972574234
7049,0.05850119888782501
7099,0.06367890536785126
7149,0.057705238461494446
7199,0.05916668474674225
7249,0.05973758548498154
7299,0.059137653559446335
7349,0.062238648533821106
7399,0.06448917090892792
7449,0.0656936764717102
7499,0.05409422144293785
7549,0.0549662746489048
7599,0.06927579641342163
7649,0.05736486613750458
7699,0.06632508337497711
7749,0.06494493782520294
7799,0.05560151860117912
7849,0.06728330999612808
7899,0.05838307738304138
7949,0.056497953832149506
7999,0.05791666731238365
8049,0.06112835556268692
8099,0.06620623171329498
8149,0.0694018080830574
8199,0.05784505233168602
8249,0.05336495488882065
8299,0.059168294072151184
8349,0.051978204399347305
8399,0.06747566163539886
8449,0.05170410871505737
8499,0.04452988877892494
8549,0.058766648173332214
8599,0.0590047612786293
8649,0.06082913652062416
8699,0.06360386312007904
8749,0.0629597008228302
8799,0.053392983973026276
8849,0.0650135725736618
8899,0.057370636612176895
8949,0.06399020552635193
8999,0.05092518776655197
9049,0.04884124547243118
9099,0.0635882318019867
9149,0.06120387464761734
9199,0.048088155686855316
9249,0.05577905848622322
9299,0.05962833762168884
9349,0.04942314326763153
9399,0.06087313964962959
9449,0.056595467031002045
9499,0.04950887709856033
9549,0.05016375333070755
9599,0.05315888673067093
9649,0.046544380486011505
9699,0.05327422544360161
9749,0.06501726806163788
9799,0.05826544016599655
9849,0.060654133558273315
9899,0.05092698708176613
9949,0.04770754277706146
9999,0.05148264020681381
10049,0.04414530098438263
10099,0.05019881948828697
10149,0.05095583200454712
10199,0.04509139806032181
10249,0.037522442638874054
10299,0.06048881262540817
10349,0.058233290910720825
10399,0.04335060715675354
10449,0.05554225295782089
10499,0.044802505522966385
10549,0.045244406908750534
10599,0.05726619437336922
10649,0.05086220055818558
10699,0.04762951284646988
10749,0.045031338930130005
10799,0.05132248252630234
10849,0.04816506430506706
10899,0.036851536482572556
10949,0.04231211170554161
10999,0.052418388426303864
11049,0.041578587144613266
11099,0.06101804971694946
11149,0.03806848078966141
11199,0.04655025899410248
11249,0.05067666620016098
11299,0.0571666918694973
11349,0.04663308337330818
11399,0.03854738175868988
11449,0.03571569174528122
