step,train_logits_fake_epoch
841,-0.15283328294754028
1683,-0.23745886981487274
2525,-0.2853166460990906
3367,-0.2953041195869446
4209,-0.2969658672809601
5051,-0.2967604100704193
5893,-0.29781338572502136
6735,-0.29872480034828186
7577,-0.2990785241127014
8419,-0.2993360757827759
9261,-0.30019110441207886
10103,-0.3004492521286011
10945,-0.3012521266937256
11787,-0.3016449213027954
12629,-0.3016965985298157
13471,-0.3018319308757782
14313,-0.3020034432411194
15155,-0.30224570631980896
15997,-0.3025078773498535
16839,-0.30220237374305725
17681,-0.302525132894516
18523,-0.30261388421058655
19365,-0.3027355670928955
20207,-0.30270177125930786
21049,-0.3026469945907593
21891,-0.3024979829788208
22733,-0.3026559054851532
23575,-0.30277180671691895
24417,-0.30264025926589966
25259,-0.30248209834098816
26101,-0.3026825487613678
26943,-0.30266910791397095
27785,-0.3026293218135834
28627,-0.30231454968452454
29469,-0.302725225687027
30311,-0.3027116656303406
31153,-0.3025948107242584
31995,-0.3027140200138092
32837,-0.3028225302696228
33679,-0.30278316140174866
34521,-0.302838534116745
35363,-0.30250588059425354
36205,-0.3030960261821747
37047,-0.3030601739883423
37889,-0.3028775751590729
38731,-0.30275020003318787
39573,-0.3028373718261719
40415,-0.3026689291000366
41257,-0.3027227520942688
42099,-0.3027479946613312
42941,-0.3030444383621216
43783,-0.30302539467811584
44625,-0.3030247986316681
45467,-0.30301472544670105
46309,-0.30301836133003235
47151,-0.30301257967948914
47993,-0.30296963453292847
48835,-0.30301135778427124
49677,-0.3027181029319763
50519,-0.3032223582267761
51361,-0.3028663396835327
52203,-0.30299708247184753
53045,-0.3031100332736969
53887,-0.30278149247169495
54729,-0.3031015396118164
55571,-0.302936851978302
56413,-0.3031028211116791
57255,-0.30314525961875916
58097,-0.30311721563339233
58939,-0.30312055349349976
59781,-0.3031635284423828
60623,-0.30288025736808777
61465,-0.30308350920677185
62307,-0.30328646302223206
63149,-0.3032239079475403
63991,-0.3031083941459656
64833,-0.3027627766132355
65675,-0.3032245635986328
66517,-0.3031821548938751
67359,-0.3031824231147766
68201,-0.30312809348106384
69043,-0.3032169044017792
69885,-0.30300086736679077
70727,-0.3033795654773712
71569,-0.30313289165496826
72411,-0.30298635363578796
73253,-0.3033178746700287
74095,-0.3030325770378113
74937,-0.3029538691043854
75779,-0.30329665541648865
76621,-0.30289626121520996
77463,-0.30316081643104553
78305,-0.3031676113605499
79147,-0.3032550513744354
79989,-0.3031110167503357
80831,-0.30302906036376953
81673,-0.3030545115470886
82515,-0.3030688762664795
83357,-0.30325740575790405
84199,-0.3028961420059204
85041,-0.302796870470047
85883,-0.30283626914024353
86725,-0.3026483356952667
87567,-0.3027915358543396
88409,-0.3028222322463989
89251,-0.30280834436416626
90093,-0.30287960171699524
90935,-0.30288392305374146
91777,-0.30247971415519714
92619,-0.30247583985328674
93461,-0.3025922477245331
94303,-0.30278658866882324
95145,-0.30246350169181824
95987,-0.3029929995536804
96829,-0.3025403618812561
97671,-0.3025045096874237
98513,-0.30248165130615234
99355,-0.3027247190475464
