
======================================================================
EXPERIMENT 5 QUANTITATIVE RESULTS
======================================================================

FILE_ID | MEAN_DEPTH | MAX_DEPTH | MIN_DEPTH | STD_DEPTH | POINTS
000086 | 0.4372 | 0.9722 | 0.0275 | 0.3619 | 98304
000087 | 0.6012 | 0.9866 | 0.0279 | 0.3591 | 98304
000088 | 0.4786 | 0.9670 | 0.0306 | 0.3818 | 98304
000089 | 0.5989 | 0.9821 | 0.0300 | 0.3184 | 98304
000090 | 0.4544 | 0.9663 | 0.0269 | 0.3795 | 98304
000091 | 0.5714 | 0.9741 | 0.0286 | 0.3710 | 98304
000092 | 0.5346 | 0.9703 | 0.0277 | 0.3561 | 98304
000093 | 0.4966 | 0.9767 | 0.0278 | 0.3962 | 98304
000094 | 0.5576 | 0.9816 | 0.0287 | 0.3968 | 98304
000095 | 0.5175 | 0.9780 | 0.0282 | 0.3743 | 98304
000096 | 0.5835 | 0.9704 | 0.0295 | 0.3614 | 98304
000097 | 0.5635 | 0.9825 | 0.0288 | 0.3613 | 98304
000098 | 0.4733 | 0.9720 | 0.0287 | 0.3524 | 98304
000099 | 0.4852 | 0.9797 | 0.0278 | 0.3532 | 98304
000100 | 0.5443 | 0.9833 | 0.0272 | 0.3914 | 98304
000101 | 0.4555 | 0.9727 | 0.0291 | 0.3696 | 98304
000102 | 0.3745 | 0.9705 | 0.0276 | 0.3406 | 98304
000103 | 0.5984 | 0.9776 | 0.0268 | 0.3724 | 98304
000104 | 0.5116 | 0.9720 | 0.0277 | 0.3801 | 98304
000105 | 0.5777 | 0.9806 | 0.0280 | 0.3693 | 98304
000106 | 0.5098 | 0.9749 | 0.0268 | 0.3840 | 98304
000107 | 0.4466 | 0.9719 | 0.0283 | 0.3414 | 98304
000108 | 0.6540 | 0.9763 | 0.0268 | 0.3701 | 98304
000109 | 0.4531 | 0.9606 | 0.0288 | 0.3784 | 98304
000110 | 0.4788 | 0.9666 | 0.0308 | 0.3764 | 98304
000111 | 0.5031 | 0.9750 | 0.0280 | 0.3722 | 98304
000112 | 0.5069 | 0.9809 | 0.0283 | 0.3692 | 98304
000113 | 0.6323 | 0.9796 | 0.0269 | 0.3605 | 98304
000114 | 0.5109 | 0.9802 | 0.0274 | 0.3555 | 98304
000115 | 0.4756 | 0.9821 | 0.0275 | 0.3505 | 98304
000116 | 0.3786 | 0.9697 | 0.0275 | 0.3638 | 98304
000117 | 0.4716 | 0.9765 | 0.0297 | 0.3459 | 98304
000118 | 0.4169 | 0.9792 | 0.0283 | 0.3709 | 98304
000119 | 0.4526 | 0.9709 | 0.0281 | 0.3507 | 98304
000120 | 0.5471 | 0.9705 | 0.0276 | 0.3952 | 98304
000121 | 0.4618 | 0.9808 | 0.0280 | 0.3728 | 98304
000122 | 0.5533 | 0.9774 | 0.0292 | 0.3438 | 98304
000123 | 0.5237 | 0.9706 | 0.0270 | 0.3857 | 98304
000124 | 0.3855 | 0.9680 | 0.0275 | 0.3550 | 98304
000125 | 0.5462 | 0.9657 | 0.0292 | 0.3812 | 98304
000126 | 0.4464 | 0.9718 | 0.0281 | 0.3310 | 98304
000127 | 0.4591 | 0.9711 | 0.0280 | 0.3530 | 98304
000128 | 0.4141 | 0.9776 | 0.0277 | 0.3618 | 98304
000129 | 0.4306 | 0.9748 | 0.0292 | 0.3688 | 98304
000130 | 0.5776 | 0.9748 | 0.0264 | 0.3765 | 98304
000131 | 0.5074 | 0.9714 | 0.0289 | 0.3580 | 98304
000132 | 0.4493 | 0.9721 | 0.0272 | 0.3707 | 98304
000133 | 0.4323 | 0.9814 | 0.0292 | 0.3727 | 98304
000134 | 0.4285 | 0.9697 | 0.0287 | 0.3517 | 98304
000135 | 0.4801 | 0.9691 | 0.0289 | 0.3815 | 98304
000136 | 0.5831 | 0.9721 | 0.0288 | 0.3938 | 98304
000137 | 0.4925 | 0.9658 | 0.0319 | 0.3670 | 98304
000138 | 0.5166 | 0.9852 | 0.0279 | 0.3680 | 98304
000139 | 0.5432 | 0.9843 | 0.0282 | 0.3764 | 98304
000140 | 0.4555 | 0.9729 | 0.0289 | 0.3684 | 98304
000141 | 0.5017 | 0.9772 | 0.0281 | 0.3531 | 98304
000142 | 0.5899 | 0.9827 | 0.0289 | 0.3792 | 98304
000143 | 0.7611 | 0.9765 | 0.0281 | 0.3064 | 98304
000144 | 0.5071 | 0.9656 | 0.0300 | 0.3727 | 98304
000145 | 0.5761 | 0.9726 | 0.0284 | 0.3429 | 98304
000146 | 0.2691 | 0.9704 | 0.0279 | 0.3121 | 98304
000147 | 0.5041 | 0.9659 | 0.0286 | 0.3735 | 98304
000148 | 0.5009 | 0.9631 | 0.0283 | 0.3737 | 98304
000149 | 0.4714 | 0.9711 | 0.0288 | 0.3398 | 98304
000150 | 0.5388 | 0.9815 | 0.0276 | 0.3809 | 98304
000151 | 0.5728 | 0.9749 | 0.0273 | 0.3778 | 98304
000152 | 0.5309 | 0.9730 | 0.0287 | 0.3644 | 98304
000153 | 0.4454 | 0.9695 | 0.0290 | 0.3685 | 98304
000154 | 0.5442 | 0.9741 | 0.0274 | 0.3699 | 98304
000155 | 0.4908 | 0.9749 | 0.0282 | 0.3544 | 98304
000156 | 0.4383 | 0.9715 | 0.0276 | 0.3800 | 98304
000157 | 0.4914 | 0.9863 | 0.0282 | 0.3745 | 98304
000158 | 0.5452 | 0.9733 | 0.0277 | 0.3607 | 98304
000159 | 0.4588 | 0.9758 | 0.0285 | 0.3695 | 98304
000160 | 0.4783 | 0.9717 | 0.0267 | 0.3943 | 98304
000161 | 0.4915 | 0.9727 | 0.0276 | 0.3870 | 98304
000162 | 0.6095 | 0.9822 | 0.0288 | 0.3759 | 98304
000163 | 0.5210 | 0.9774 | 0.0277 | 0.3558 | 98304
000164 | 0.4831 | 0.9802 | 0.0278 | 0.3648 | 98304
000165 | 0.4279 | 0.9719 | 0.0292 | 0.3683 | 98304
000166 | 0.4578 | 0.9768 | 0.0277 | 0.3501 | 98304
000167 | 0.5280 | 0.9795 | 0.0281 | 0.3800 | 98304
000168 | 0.5802 | 0.9816 | 0.0290 | 0.3840 | 98304
000169 | 0.4996 | 0.9748 | 0.0283 | 0.3609 | 98304
000170 | 0.5398 | 0.9638 | 0.0291 | 0.3515 | 98304
000171 | 0.5014 | 0.9789 | 0.0289 | 0.3688 | 98304
000172 | 0.5123 | 0.9774 | 0.0269 | 0.3891 | 98304
000173 | 0.5047 | 0.9795 | 0.0291 | 0.3604 | 98304
000174 | 0.4781 | 0.9752 | 0.0292 | 0.3725 | 98304
000175 | 0.5896 | 0.9781 | 0.0281 | 0.3776 | 98304
000176 | 0.5671 | 0.9723 | 0.0282 | 0.3756 | 98304
000177 | 0.5638 | 0.9725 | 0.0277 | 0.3645 | 98304
000178 | 0.5010 | 0.9723 | 0.0280 | 0.3706 | 98304
000179 | 0.5309 | 0.9660 | 0.0283 | 0.3450 | 98304
000180 | 0.5008 | 0.9655 | 0.0283 | 0.3752 | 98304
000181 | 0.4396 | 0.9740 | 0.0274 | 0.3416 | 98304
000182 | 0.5562 | 0.9794 | 0.0286 | 0.3455 | 98304
000183 | 0.5041 | 0.9820 | 0.0298 | 0.3875 | 98304
000184 | 0.6013 | 0.9776 | 0.0287 | 0.3535 | 98304
000185 | 0.5657 | 0.9861 | 0.0286 | 0.3747 | 98304
000186 | 0.5675 | 0.9847 | 0.0267 | 0.3811 | 98304
000187 | 0.5187 | 0.9733 | 0.0272 | 0.3555 | 98304
000188 | 0.4336 | 0.9695 | 0.0295 | 0.3704 | 98304
000189 | 0.4272 | 0.9740 | 0.0291 | 0.3677 | 98304
000190 | 0.4406 | 0.9791 | 0.0293 | 0.3538 | 98304
000191 | 0.5091 | 0.9778 | 0.0300 | 0.3772 | 98304
000192 | 0.5477 | 0.9758 | 0.0281 | 0.3687 | 98304
000193 | 0.5580 | 0.9827 | 0.0277 | 0.3512 | 98304
000194 | 0.5471 | 0.9650 | 0.0295 | 0.3658 | 98304
000195 | 0.4890 | 0.9815 | 0.0292 | 0.3841 | 98304
000196 | 0.4506 | 0.9788 | 0.0269 | 0.3751 | 98304
000197 | 0.5339 | 0.9694 | 0.0289 | 0.3424 | 98304
000198 | 0.5485 | 0.9695 | 0.0279 | 0.3932 | 98304
000199 | 0.6195 | 0.9874 | 0.0288 | 0.3713 | 98304
000200 | 0.6437 | 0.9771 | 0.0275 | 0.3836 | 98304
000201 | 0.5105 | 0.9741 | 0.0291 | 0.3751 | 98304
000202 | 0.5165 | 0.9735 | 0.0291 | 0.3818 | 98304
000203 | 0.4878 | 0.9784 | 0.0282 | 0.3475 | 98304
000204 | 0.4976 | 0.9751 | 0.0273 | 0.3715 | 98304
000205 | 0.5372 | 0.9829 | 0.0288 | 0.3727 | 98304
000206 | 0.5324 | 0.9781 | 0.0270 | 0.3727 | 98304
000207 | 0.3638 | 0.9673 | 0.0274 | 0.3446 | 98304
000208 | 0.4839 | 0.9747 | 0.0271 | 0.3589 | 98304
000209 | 0.4413 | 0.9720 | 0.0274 | 0.3423 | 98304
000210 | 0.5443 | 0.9795 | 0.0284 | 0.3480 | 98304
000211 | 0.4411 | 0.9785 | 0.0275 | 0.4103 | 98304
000212 | 0.4952 | 0.9821 | 0.0272 | 0.3796 | 98304
000213 | 0.4974 | 0.9777 | 0.0287 | 0.3864 | 98304
000214 | 0.5390 | 0.9779 | 0.0286 | 0.3858 | 98304
000215 | 0.6830 | 0.9768 | 0.0276 | 0.3664 | 98304
000216 | 0.5533 | 0.9845 | 0.0299 | 0.3538 | 98304
000217 | 0.4906 | 0.9742 | 0.0282 | 0.3953 | 98304
000218 | 0.5310 | 0.9848 | 0.0277 | 0.3437 | 98304
000219 | 0.4625 | 0.9715 | 0.0286 | 0.3652 | 98304
000220 | 0.6026 | 0.9747 | 0.0281 | 0.3589 | 98304
000221 | 0.5683 | 0.9791 | 0.0281 | 0.3704 | 98304
000222 | 0.5966 | 0.9734 | 0.0257 | 0.3909 | 98304
000223 | 0.6143 | 0.9748 | 0.0294 | 0.3463 | 98304
000224 | 0.5508 | 0.9759 | 0.0273 | 0.3712 | 98304
000225 | 0.5355 | 0.9726 | 0.0300 | 0.3680 | 98304
000226 | 0.5280 | 0.9751 | 0.0285 | 0.3416 | 98304
000227 | 0.4415 | 0.9740 | 0.0289 | 0.3583 | 98304
000228 | 0.4494 | 0.9709 | 0.0279 | 0.3675 | 98304
000229 | 0.5345 | 0.9651 | 0.0276 | 0.3681 | 98304
000230 | 0.3846 | 0.9609 | 0.0277 | 0.3793 | 98304
000231 | 0.5385 | 0.9726 | 0.0279 | 0.3821 | 98304
000232 | 0.4665 | 0.9696 | 0.0285 | 0.3683 | 98304
000233 | 0.5817 | 0.9820 | 0.0290 | 0.3580 | 98304
000234 | 0.5019 | 0.9745 | 0.0289 | 0.3601 | 98304
000235 | 0.5727 | 0.9852 | 0.0277 | 0.3810 | 98304
000236 | 0.4085 | 0.9721 | 0.0270 | 0.3700 | 98304
000237 | 0.5401 | 0.9720 | 0.0300 | 0.3732 | 98304
000238 | 0.4366 | 0.9718 | 0.0274 | 0.3474 | 98304
000239 | 0.5884 | 0.9779 | 0.0274 | 0.3848 | 98304
000240 | 0.4622 | 0.9798 | 0.0294 | 0.3672 | 98304
000241 | 0.4134 | 0.9755 | 0.0289 | 0.3765 | 98304
000242 | 0.5039 | 0.9698 | 0.0272 | 0.3583 | 98304
000243 | 0.4376 | 0.9722 | 0.0274 | 0.3476 | 98304
000244 | 0.3235 | 0.9650 | 0.0281 | 0.3317 | 98304
000245 | 0.4385 | 0.9741 | 0.0275 | 0.3479 | 98304
000246 | 0.5042 | 0.9794 | 0.0305 | 0.3664 | 98304
000247 | 0.4769 | 0.9711 | 0.0294 | 0.3733 | 98304
000248 | 0.5347 | 0.9737 | 0.0297 | 0.3556 | 98304
000249 | 0.5485 | 0.9732 | 0.0278 | 0.3775 | 98304
000250 | 0.5380 | 0.9694 | 0.0291 | 0.3456 | 98304
000251 | 0.5355 | 0.9723 | 0.0299 | 0.3618 | 98304
000252 | 0.5396 | 0.9738 | 0.0300 | 0.3253 | 98304
